id,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,label
0,0.43083003,0.7416667,0.0,0.0,0.0,0.034220546,6.7223393E-4,0.027329193,8.5574354E-4,0.090111025,0.079416536,0.061119296,0.1309431,0.73134327,0.014117654,0.87286526,0.123711355,0.50813884,0.8318493,0.0
1,0.33596838,0.73333335,0.0,0.0,0.0,0.038022805,7.2609575E-4,0.032298137,5.412199E-4,0.09579138,0.08508914,0.06848307,0.1348402,0.72947764,0.023529414,0.85958254,0.12739322,0.46332908,0.8369865,0.0
2,0.8853755,0.97083336,0.0,0.0,0.0,0.115969576,0.0022134436,0.067080736,0.0010965897,0.085463464,0.07536467,0.061855678,0.12003117,0.73694026,0.038823534,0.82732445,0.11340206,0.48014903,0.84478235,0.0
3,0.18181819,0.92083335,0.0,0.0,0.0,0.043726236,0.0012650981,0.022360247,6.451767E-4,0.08856184,0.080226906,0.05964654,0.12704597,0.7481343,0.014117654,0.85578746,0.12002946,0.50096595,0.8258891,0.0
4,0.37944663,0.7291667,0.0,0.0,0.0,0.03992397,6.9698686E-4,0.026086964,7.2532584E-4,0.10870127,0.101296596,0.07805596,0.1480904,0.7481343,0.010588235,0.86148,0.13991164,0.44266057,0.8239236,0.0
5,0.6166008,0.875,0.0,0.0,0.0,0.03612167,6.5233227E-4,0.02732919,4.4768068E-4,0.08443067,0.074554294,0.05375553,0.12626655,0.73880595,0.0047058845,0.88045543,0.11929308,0.5491797,0.8261886,0.0
6,0.24110672,0.8875,0.0,0.0,0.0,0.032319393,0.0010925954,0.052173913,0.001177926,0.10198813,0.096434355,0.075846836,0.1348402,0.76305974,0.03058824,0.81404173,0.12739322,0.40896538,0.8233422,0.0
7,0.1027668,0.9875,0.0,0.3333333,0.0,0.05513308,6.5233186E-4,0.07080745,0.0012424181,0.10663568,0.10777958,0.08541974,0.12782541,0.8078358,0.05529412,0.7286528,0.12076583,0.31222734,0.81046945,0.0
8,0.16996047,0.925,0.0,0.0,0.0,0.07604562,0.002164412,0.04720496,9.577564E-4,0.10095533,0.09157212,0.07511046,0.13717848,0.73694026,0.031764705,0.83870965,0.12960236,0.42217422,0.83848727,0.0
9,0.06324111,0.90833336,0.0,0.0,0.0,0.072243355,0.0020017077,0.054658387,0.0011647644,0.09553318,0.081847645,0.0736377,0.13172252,0.70895517,0.04941177,0.83870965,0.124447726,0.4398524,0.86358523,0.0
10,0.12252964,0.95416665,0.0,0.0,0.0,0.04372623,0.0015536698,0.05093167,0.0012299477,0.08468887,0.0713128,0.061855678,0.121590026,0.7145522,0.04235294,0.8444022,0.114874825,0.47067475,0.85417736,0.0
11,0.21343873,0.825,0.0,0.3333333,0.0,0.062737636,0.0013061074,0.031055897,7.199922E-4,0.08727085,0.07536467,0.06848307,0.11847233,0.72388065,0.062352948,0.80265653,0.11192931,0.40790388,0.8634704,0.0
12,0.541502,0.8,0.0,0.0,0.0,0.05703423,0.0016602952,0.05093168,0.0013551837,0.07849213,0.06401945,0.05375553,0.11847233,0.70895517,0.031764705,0.86717266,0.11192931,0.53894526,0.8501284,0.0
13,0.35177866,0.7416667,0.0,0.0,0.0,0.03041825,7.858718E-4,0.02360248,5.9708697E-4,0.08985283,0.07617504,0.06259205,0.13172252,0.7108209,0.022352947,0.88045543,0.124447726,0.49709514,0.84438777,0.0
14,0.9644269,0.9458333,0.0,0.3333333,0.0,0.057034217,0.0025597904,0.05217391,0.0017603328,0.062225666,0.04619125,0.043446243,0.097427905,0.7033582,0.05647059,0.83301705,0.09204713,0.59701496,0.86797667,0.0
15,0.22529644,0.85833335,0.0,0.0,0.0,0.047528517,0.0010717155,0.037267074,9.7372045E-4,0.08313969,0.0713128,0.05964654,0.11925175,0.7257462,0.038823534,0.83870965,0.11266569,0.48659843,0.84792835,0.0
16,0.5731225,0.7916667,0.0,0.0,0.0,0.02091254,3.3046733E-4,0.02360248,5.773971E-4,0.07436097,0.06320908,0.046391755,0.114575215,0.73320895,0.01529412,0.8690702,0.10824743,0.5708515,0.83157915,0.0
17,0.07114624,0.72083336,0.0,0.0,0.0,0.019011406,3.4713987E-4,0.018633539,4.4982787E-4,0.099147946,0.08995137,0.07290132,0.13561964,0.73880595,0.029411765,0.84060717,0.12812962,0.43115196,0.83638656,0.0
18,0.9644269,0.6875,0.0,0.0,0.0,0.034220554,5.207103E-4,0.022360247,4.0233848E-4,0.1288407,0.110210694,0.11266569,0.16367888,0.6641791,0.08470588,0.82732445,0.15463918,0.35206997,0.9025901,0.0
19,0.8972332,0.7125,0.0,0.3333333,0.0,0.03041824,6.942803E-4,0.017391296,4.7280363E-4,0.1169636,0.10615883,0.08468336,0.16134061,0.7220149,0.0047058845,0.89753324,0.15243004,0.44435817,0.8327818,0.0
20,0.31225297,0.8,0.0,0.0,0.0,0.047528513,7.490709E-4,0.043478254,0.0011009738,0.08649626,0.07293355,0.05964654,0.12782541,0.7126866,0.023529414,0.87666035,0.12076583,0.5144446,0.8445886,0.0
21,0.7233202,0.775,0.0,0.0,0.0,0.10456274,0.0032823784,0.10186334,0.0019808006,0.08339789,0.06482983,0.06332842,0.122369446,0.6791045,0.05529412,0.85958254,0.115611196,0.51518697,0.87438947,0.0
22,0.3320158,0.8833333,0.0,0.3333333,0.0,0.060836498,0.0010557852,0.04347826,0.0010904215,0.102762714,0.0923825,0.076583214,0.14029618,0.72947764,0.03058824,0.84819734,0.13254787,0.42312294,0.8411954,0.0
23,0.6363636,0.94166666,0.0,0.3333333,0.0,0.07794677,0.0011529677,0.059627328,0.0018500064,0.09217661,0.079416536,0.066273935,0.13172252,0.7164179,0.029411765,0.86337763,0.124447726,0.47282594,0.84519845,0.0
24,0.45454547,0.975,0.0,0.0,0.0,0.077946775,0.0011724002,0.05093167,0.001079766,0.11412343,0.09886547,0.09499264,0.14886983,0.6921641,0.067058824,0.82732445,0.140648,0.38490298,0.8800619,0.0
25,0.16996047,0.73333335,0.0,0.0,0.0,0.04942967,3.4713978E-4,0.018633543,7.410955E-4,0.10611929,0.096434355,0.08468336,0.13795792,0.73320895,0.05411765,0.80645156,0.13033874,0.35552603,0.85327375,0.0
26,0.8458498,0.8666667,0.0,0.0,0.0,0.08745247,0.0022564107,0.072049685,0.0017971684,0.09217661,0.07536467,0.06774669,0.13406079,0.6884328,0.036470592,0.88045543,0.12665685,0.49459508,0.8612678,0.0
27,0.78656125,0.99583334,0.0,0.0,0.0,0.07794677,0.0014326103,0.032298137,7.397945E-4,0.064291246,0.047811992,0.048600886,0.09664848,0.69962686,0.07176471,0.8121442,0.091310754,0.5633903,0.8792032,0.0
28,0.4466403,0.9458333,0.0,0.0,0.0,0.05703423,0.001144773,0.032298137,7.704193E-4,0.095016785,0.081037275,0.0706922,0.13406079,0.7070896,0.037647057,0.85958254,0.12665685,0.46145898,0.8546503,0.0
29,0.11462451,1.0,0.0,0.0,0.0,0.08365017,0.0018973993,0.17888197,0.001158125,0.14407437,0.15640195,0.11782033,0.15978177,0.8731343,0.04,0.686907,0.1509573,0.23141664,0.7271254,0.0
30,0.13043478,0.6375,0.0,0.0,0.0,0.030418256,4.070578E-4,0.028571427,3.539228E-4,0.07900852,0.067260936,0.06848307,0.10132502,0.72761196,0.1,0.7381404,0.095729016,0.367923,0.895686,0.0
31,0.3992095,0.8,0.0,0.0,0.0,0.022813683,7.6646457E-4,0.029813658,6.451766E-4,0.068164214,0.054294977,0.04270987,0.10833983,0.7164179,0.025882356,0.8690702,0.10235641,0.5918262,0.844259,0.0
32,0.85375494,0.975,0.0,0.3333333,0.5,0.10836502,0.0030418125,0.048447203,8.964372E-4,0.067906015,0.054294977,0.04712813,0.10288387,0.7182836,0.048235297,0.83111954,0.09720177,0.57276654,0.85847294,0.0
33,0.6403162,0.82916665,0.0,0.0,0.0,0.053231936,5.488763E-4,0.033540368,6.927101E-4,0.08262329,0.06807131,0.058910165,0.121590026,0.7070896,0.037647057,0.85958254,0.114874825,0.48873982,0.854154,0.0
34,0.011857707,0.7375,0.0,0.0,0.0,0.053231936,6.942803E-4,0.0521739,5.4829416E-4,0.10973406,0.097244725,0.09278351,0.13951676,0.7126866,0.07647059,0.7912714,0.1318115,0.3424082,0.88117313,0.0
